iter	RMSE
0	0.5660566904
1	0.5160676969
2	0.4714781201
3	0.4374865228
4	0.4086089035
5	0.3860861622
6	0.362960679
7	0.345164334
8	0.3328100229
9	0.3199787065
10	0.308562942
11	0.298436606
12	0.2915915763
13	0.2842555749
14	0.2779272057
15	0.2713583242
16	0.2673904428
17	0.2634051768
18	0.2602312036
19	0.2571946591
20	0.2546731211
21	0.2520637246
22	0.2501333373
23	0.2480845283
24	0.2465481519
25	0.2451233004
26	0.2435971764
27	0.2424625097
28	0.2412616598
29	0.2399312551
30	0.2386309625
31	0.2377470215
32	0.2361643277
33	0.235242885
34	0.2342866466
35	0.2335636346
36	0.232843325
37	0.231921817
38	0.2311446817
39	0.23027731
40	0.2294347404
41	0.2281732646
42	0.2271586331
43	0.2257298337
44	0.2253332645
45	0.2246039195
46	0.2238016622
47	0.2229300982
48	0.2221439685
49	0.2211503918
50	0.2206666787
51	0.2203410168
52	0.2195742778
53	0.219239787
54	0.2189428315
55	0.2180131452
56	0.2171291705
57	0.2168473024
58	0.2164735082
59	0.216112341
60	0.2156699277
61	0.2153853131
62	0.2150376958
63	0.2144997201
64	0.213327214
65	0.212529733
66	0.2123639411
67	0.2115397845
68	0.2114026505
69	0.2112996443
70	0.2103476963
71	0.2102395946
72	0.2101186316
73	0.210022115
74	0.2097233423
75	0.2086982881
76	0.2079464907
77	0.2073228739
78	0.2060393006
79	0.205596344
80	0.2046047647
81	0.2041441784
82	0.2033216917
83	0.2026679167
84	0.2025142224
85	0.2021474557
86	0.2020715098
87	0.2014245608
88	0.2008480228
89	0.2002281075
90	0.1989162729
91	0.1981803334
92	0.1981372669
93	0.1979683738
94	0.1971751265
95	0.1967346259
96	0.1963672818
97	0.1963248751
98	0.1957361805
99	0.1954201335
100	0.195279265
101	0.1949462826
102	0.1941383066
103	0.1939876124
104	0.1938004033
105	0.1932780564
106	0.1925423139
107	0.1920529706
108	0.1914853485
109	0.1913366597
110	0.1912215122
111	0.1906556721
112	0.1903660829
113	0.1900254536
114	0.1892128293
115	0.1884923545
116	0.1884486373
117	0.1877902954
118	0.187542177
119	0.187351355
120	0.1871969157
121	0.1865226003
122	0.1861156588
123	0.1856239839
124	0.1854728567
125	0.1850642493
126	0.184439299
127	0.184241394
128	0.1834971983
129	0.1832786301
130	0.1830550105
131	0.1826711655
132	0.1820650467
133	0.1820354356
134	0.1818043881
135	0.1815497301
136	0.1815206374
137	0.1810632119
138	0.1804164357
139	0.1803919089
140	0.1802131734
141	0.180051062
142	0.1798745963
143	0.179396681
144	0.1787548746
145	0.1786120221
146	0.1782191389
147	0.1780271061
148	0.1780122048
149	0.1777610113
150	0.1775471902
151	0.1770109413
152	0.1766815142
153	0.1762936986
154	0.1760722044
155	0.1758947284
156	0.175513909
157	0.1753720699
158	0.1750469276
159	0.1744761025
160	0.1744643053
161	0.1738081118
162	0.173113683
163	0.1727055554
164	0.1726759882
165	0.1724197994
166	0.1723525955
167	0.1719550392
168	0.1718830573
169	0.1715079904
170	0.1710233401
171	0.1706519837
172	0.1701251824
173	0.169705669
174	0.1695891963
175	0.1695053692
176	0.1691667697
177	0.1688228232
178	0.1686855068
179	0.1684489375
180	0.1680125988
181	0.167791481
182	0.1677795972
183	0.167568072
184	0.1675419275
185	0.16706474
186	0.166770206
187	0.1667048978
188	0.1663505523
189	0.1661002869
190	0.1660875422
191	0.1659067513
192	0.1657972583
193	0.1656850452
194	0.16550164
195	0.1651682882
196	0.1651072724
197	0.1648279715
198	0.1645005619
199	0.1641296967
200	0.1641186664
201	0.1638470445
202	0.1633085702
203	0.1628788253
204	0.1626035309
205	0.1622690398
206	0.1622557028
207	0.1618640137
208	0.1618189384
209	0.1614246163
210	0.1611532242
211	0.1607589482
212	0.1604257853
213	0.1603241266
214	0.1601554269
215	0.1599821622
216	0.1599647852
217	0.1596665628
218	0.1595011671
219	0.1592228791
220	0.1592105901
221	0.1589870499
222	0.1587487403
223	0.1586797641
224	0.1584185255
225	0.1582685868
226	0.1580199691
227	0.1580118611
228	0.1579950109
229	0.1577104355
230	0.157516204
231	0.1574111217
232	0.1572929043
233	0.1571331915
234	0.1566683677
235	0.1564200183
236	0.1561628534
237	0.1559000739
238	0.1555351766
239	0.1553931483
240	0.1553590932
241	0.1551266548
242	0.154960881
243	0.1547718296
244	0.1545754742
245	0.1544740088
246	0.1544516995
247	0.1542700034
248	0.1541539457
249	0.1539661861
250	0.1537944873
251	0.1537754437
252	0.1536345776
253	0.1534011537
254	0.153173473
255	0.1528568958
256	0.1527875544
257	0.1524933233
258	0.1523899832
259	0.1520394023
260	0.1516894514
261	0.1516712513
262	0.1516487222
263	0.1516288681
264	0.1516126392
265	0.1513966972
266	0.1510293935
267	0.1509002029
268	0.1508927724
269	0.1508054286
270	0.1505626589
271	0.1504684506
272	0.150386898
273	0.1502286031
274	0.1500695948
275	0.1498264177
276	0.1497313737
277	0.149713143
278	0.149402341
279	0.1493895061
280	0.1493696874
281	0.1490493993
282	0.1489637844
283	0.1487165405
284	0.1486089809
285	0.1484821623
286	0.1483387973
287	0.1482080771
288	0.1480250536
289	0.1478415398
290	0.1477153864
291	0.1477084847
292	0.1475918579
293	0.1473906233
294	0.1472047393
295	0.1471374271
296	0.1471267729
297	0.1468576947
298	0.1465933922
299	0.1463712254
300	0.1463573803
301	0.1460842989
302	0.1460587973
303	0.1458169445
304	0.1457218361
305	0.1456318453
306	0.1455081852
307	0.14539388
308	0.1453829338
309	0.1452367735
310	0.1450622369
311	0.1450551834
312	0.1447583943
313	0.144645235
314	0.1445091659
315	0.1443797072
316	0.1442593701
317	0.1440995741
318	0.143899532
319	0.1437851729
320	0.1434102236
321	0.1432463415
322	0.1430844769
323	0.14300345
324	0.1427510284
325	0.1425319821
326	0.142457369
327	0.1423914893
328	0.1421277555
329	0.1420799673
330	0.1420329186
331	0.1418247035
332	0.1417342096
333	0.1415563627
334	0.1414035638
335	0.1412169738
336	0.1410557782
337	0.1409545294
338	0.1407680108
339	0.1406954167
340	0.1405190691
341	0.14043595
342	0.1403615158
343	0.1402384667
344	0.140015894
345	0.1398684956
346	0.1397292716
347	0.1395551818
348	0.1393796603
349	0.1392426832
350	0.1390426678
351	0.1389536062
352	0.1389074842
353	0.1386297839
354	0.1386135083
355	0.1384572491
356	0.1384272162
357	0.1384022541
358	0.138273992
359	0.1382686181
360	0.1381952105
361	0.1379384766
362	0.1378059072
363	0.1376949553
364	0.1375241958
365	0.137462052
366	0.1373781118
367	0.1371901674
368	0.1371266937
369	0.1370693519
370	0.1370090282
371	0.1368946421
372	0.136861425
373	0.1367993503
374	0.1367837553
375	0.1365937385
376	0.136535842
377	0.1364722514
378	0.1363498028
379	0.1363074649
380	0.1361993565
381	0.1361254187
382	0.1359072262
383	0.135823807
384	0.1355889602
385	0.1354487395
386	0.1353066421
387	0.13516642
388	0.135099769
389	0.1349185244
390	0.1348025066
391	0.1346732186
392	0.1344900338
393	0.1344355172
394	0.1342180571
395	0.1341212671
396	0.133894868
397	0.1337334504
398	0.1335880766
399	0.1334341319
400	0.1333326644
401	0.1332123783
402	0.1331986779
403	0.1331607201
404	0.1330535894
405	0.1328405182
406	0.1327001958
407	0.1325542981
408	0.1324354129
409	0.1321915997
410	0.1321261603
411	0.1320217957
412	0.13193316
413	0.131861799
414	0.1317296832
415	0.1315638039
416	0.1315585704
417	0.1314250874
418	0.1314199175
419	0.1313129515
420	0.1311820041
421	0.1310644446
422	0.1310598106
423	0.1309561361
424	0.1308930136
425	0.1307921914
426	0.1306561663
427	0.1305549751
428	0.130473559
429	0.1303475964
430	0.1302351114
431	0.1302228857
432	0.1300946863
433	0.1300090302
434	0.1299474066
435	0.1298459352
436	0.1296937736
437	0.1296575397
438	0.1296180356
439	0.1295247866
440	0.1294120286
441	0.1293764658
442	0.1292508389
443	0.1292459827
444	0.1291092346
445	0.1290887041
446	0.1290543111
447	0.1289960634
448	0.1289259971
449	0.1288254619
450	0.1287982365
451	0.1287475363
452	0.1286663917
453	0.1285363228
454	0.1283908591
455	0.1283184079
456	0.128113007
457	0.1280320665
458	0.1278671633
459	0.1276830645
460	0.1276415384
461	0.1275276844
462	0.1274019621
463	0.1273116446
464	0.127292064
465	0.1271693149
466	0.1270990328
467	0.1270714948
468	0.1269416944
469	0.1267599404
470	0.1267042158
471	0.1265405794
472	0.1263900222
473	0.1262896339
474	0.1261330489
475	0.1261049152
476	0.1259380647
477	0.125873071
478	0.1258228512
479	0.1257198198
480	0.1257151632
481	0.1256343665
482	0.1255267181
483	0.1255092948
484	0.1254745444
485	0.1254226091
486	0.1253824402
487	0.1252670254
488	0.1252442333
489	0.1250373671
490	0.125032977
491	0.1249303665
492	0.1248851524
493	0.124806308
494	0.1247594598
495	0.1247559992
496	0.1246688677
497	0.1246661839
498	0.1246105685
499	0.1244570849
500	0.1243272548
501	0.1242431396
502	0.1242043813
503	0.124119642
504	0.1240906617
505	0.1240509246
506	0.1240368811
507	0.1237121167
508	0.123647613
509	0.1235918163
510	0.1234652557
511	0.1234385296
512	0.1233391885
513	0.1232996673
514	0.123213343
515	0.1231233553
516	0.1231208849
517	0.1230802012
518	0.1230661552
519	0.1229693354
520	0.1228577289
521	0.1228066356
522	0.1227122283
523	0.1226981995
524	0.1226666026
525	0.1226225507
526	0.1225592728
527	0.1224721008
528	0.1224241053
529	0.1223991264
530	0.1222784401
531	0.1222259512
532	0.1221342965
533	0.1220062626
534	0.121931643
535	0.1218905204
536	0.1218055621
537	0.1216830063
538	0.1215156475
539	0.1214218823
540	0.1213994052
541	0.1213051568
542	0.1212714312
543	0.1211945414
544	0.12110877
545	0.1210290015
546	0.121004611
547	0.1209625036
548	0.12086642
549	0.1208182434
550	0.1207539772
551	0.1207360783
552	0.1206960368
553	0.1206427589
554	0.1205732994
555	0.1204864793
556	0.1204179331
557	0.1204066454
558	0.1203771093
559	0.1202732601
560	0.1202081596
561	0.1201717172
562	0.1199710131
563	0.1199399115
564	0.1198815293
565	0.1197479273
566	0.1197015163
567	0.1195643411
568	0.1194748846
569	0.1193984748
570	0.1193404755
571	0.1193205974
572	0.1190954135
573	0.1190460528
574	0.118892458
575	0.118810248
576	0.1187478777
577	0.1186995595
578	0.1186961701
579	0.118495873
580	0.1184400602
581	0.1184014964
582	0.1183044582
583	0.1182908946
584	0.1182892989
585	0.1182565514
586	0.1181947404
587	0.1181917491
588	0.1181851332
589	0.1181568731
590	0.1180837579
591	0.1180811904
592	0.1180255317
593	0.1180037447
594	0.1179453327
595	0.1178894861
596	0.1178730863
597	0.1178305583
598	0.1176804405
599	0.1175808305
600	0.1175795016
601	0.117526395
602	0.1174547196
603	0.1173775214
604	0.1173392561
605	0.1171875118
606	0.1171524342
607	0.1171051883
608	0.1170464097
609	0.11700633
610	0.1169458275
611	0.1168584953
612	0.1168054991
613	0.1167600853
614	0.1166701066
615	0.1166603136
616	0.1166468737
617	0.1166094656
618	0.1165555333
619	0.1165271714
620	0.1164048387
621	0.1163210294
622	0.1161999658
623	0.1160276188
624	0.1160265846
625	0.1160075958
626	0.1159707664
627	0.1159211025
628	0.1157771734
629	0.1157519522
630	0.1157444385
631	0.1157410772
632	0.1157399848
633	0.1157105489
634	0.1156889137
635	0.1156147074
636	0.1155330547
637	0.1155145071
638	0.1154803439
639	0.115447573
640	0.1153477332
641	0.115294991
642	0.1152231024
643	0.115050716
644	0.1150439737
645	0.114921781
646	0.1148895279
647	0.1148316877
648	0.1147895208
649	0.1147609469
650	0.1147230721
651	0.1146923758
652	0.1146912242
653	0.1146631254
654	0.1146275585
655	0.1145846125
656	0.1145334921
657	0.1145257217
658	0.1144577549
659	0.1143251866
660	0.1142968398
661	0.114274438
662	0.1142245984
663	0.1141854922
664	0.1140232353
665	0.1139230851
666	0.1138908237
667	0.1138600815
668	0.1138363519
669	0.1138354316
670	0.1137150782
671	0.1137089834
672	0.113616133
673	0.1135908876
674	0.1134878711
675	0.1134190519
676	0.1133081048
677	0.1132639076
678	0.1132322277
679	0.1131873015
680	0.1131407948
681	0.1131040524
682	0.1130558947
683	0.1130402194
684	0.1129943714
685	0.1129924115
686	0.1128555789
687	0.1127300006
688	0.1126884574
689	0.1126280678
690	0.1125761681
691	0.1125293697
692	0.1125217829
693	0.1124826875
694	0.1124686745
695	0.1123416233
696	0.1123351854
697	0.1122105857
698	0.1121329881
699	0.112129454
700	0.112066758
701	0.1120181149
702	0.1119983214
703	0.1119519358
704	0.1118806978
705	0.1117693176
706	0.1117418499
707	0.1117066344
708	0.1116107101
709	0.1115871217
710	0.1115755073
711	0.1115101381
712	0.1114892149
713	0.1114459244
714	0.1113349358
715	0.1113081949
716	0.1112786396
717	0.1112327116
718	0.1111446337
719	0.1111302927
720	0.1110808342
721	0.1110193044
722	0.1110179552
723	0.1109363822
724	0.1109150122
725	0.1108772883
726	0.1108411285
727	0.110773459
728	0.1106656382
729	0.110649046
730	0.1105580127
731	0.1105268462
732	0.1103781693
733	0.1102689147
734	0.1101991733
735	0.1101326214
736	0.1101250695
737	0.1100605796
738	0.1099957671
739	0.1099635134
740	0.1099304763
741	0.1099147543
742	0.1098756018
743	0.1097846712
744	0.1097830992
745	0.1097672372
746	0.1097527186
747	0.1097060305
748	0.1097016604
749	0.1096996925
750	0.1096638728
751	0.1095342253
752	0.1095144478
753	0.109482677
754	0.1093740944
755	0.1093473719
756	0.1093359922
757	0.1092941568
758	0.1092930427
759	0.1092687846
760	0.1091656462
761	0.109164167
762	0.109149028
763	0.1091384076
764	0.1090943965
765	0.109085528
766	0.1090592529
767	0.1090442395
768	0.1090431092
769	0.1090032192
770	0.1089715049
771	0.1089507758
772	0.10894975
773	0.1087918598
774	0.1087508739
775	0.1087173016
776	0.1086870465
777	0.1086823431
778	0.1086418108
779	0.1086374978
780	0.1085290036
781	0.1085079325
782	0.1084691203
783	0.1084390225
784	0.108340799
785	0.1083047196
786	0.1082152969
787	0.1082144488
788	0.1081881126
789	0.1081747677
790	0.1081590401
791	0.1081580642
792	0.1081141711
793	0.1081132022
794	0.1080605085
795	0.108059471
796	0.1079785378
797	0.1078668545
798	0.1078175748
799	0.1078110625
800	0.1078100965
801	0.10773673
802	0.1076176833
803	0.10754519
804	0.1074956581
805	0.1074375325
806	0.1074038861
807	0.1073577386
808	0.1073571292
809	0.1073379118
810	0.1073196204
811	0.1072098931
812	0.1070936794
813	0.1070410306
814	0.1070159013
815	0.1069235951
816	0.1068456667
817	0.1067591308
818	0.106754865
819	0.1067422296
820	0.1067288875
821	0.1067045018
822	0.1066614183
823	0.1066447917
824	0.1066046783
825	0.1065035547
826	0.1064659036
827	0.1064626941
828	0.1064145891
829	0.106371197
830	0.1062837556
831	0.1062779106
832	0.1062449243
833	0.1062435903
834	0.1062423854
835	0.1062264041
836	0.1061666038
837	0.1061663312
838	0.1060831773
839	0.1060423951
840	0.1059783089
841	0.105945164
842	0.1058869334
843	0.1058863951
844	0.1057339629
845	0.1056839559
846	0.1056560578
847	0.1055920678
848	0.1055611271
849	0.1054925255
850	0.1054831068
851	0.1054372797
852	0.1053871722
853	0.1053670623
854	0.1053519656
855	0.1053461711
856	0.1053448193
857	0.1053302005
858	0.1052802023
859	0.1052678256
860	0.1052324159
861	0.1051436501
862	0.1051164726
863	0.1050784602
864	0.1050522219
865	0.1050321506
866	0.1050118865
867	0.1050068287
868	0.1049964915
869	0.1049666438
870	0.1049552291
871	0.1049226658
