iter	Passed	Remaining
0	1	1075
1	1	677
2	1	505
3	1	428
4	1	373
5	2	337
6	2	310
7	2	290
8	2	274
9	2	263
10	2	252
11	2	242
12	3	234
13	3	226
14	3	220
15	3	215
16	3	211
17	3	207
18	3	203
19	4	200
20	4	197
21	4	195
22	4	193
23	4	190
24	4	188
25	4	186
26	5	185
27	5	183
28	5	181
29	5	180
30	5	179
31	5	177
32	6	176
33	6	176
34	6	176
35	6	175
36	6	174
37	6	173
38	7	172
39	7	171
40	7	171
41	7	170
42	7	169
43	7	171
44	8	170
45	8	169
46	8	169
47	8	168
48	8	167
49	8	167
50	9	167
51	9	168
52	9	167
53	9	166
54	9	165
55	9	164
56	9	163
57	10	163
58	10	162
59	10	161
60	10	160
61	10	159
62	10	159
63	10	158
64	10	158
65	11	157
66	11	157
67	11	156
68	11	159
69	12	161
70	12	160
71	12	159
72	12	158
73	12	158
74	12	158
75	12	157
76	13	157
77	13	156
78	13	156
79	13	157
80	13	157
81	14	157
82	14	156
83	14	156
84	14	156
85	14	155
86	14	154
87	14	154
88	15	154
89	15	153
90	15	153
91	15	152
92	15	152
93	15	152
94	15	151
95	16	151
96	16	151
97	16	150
98	16	150
99	16	149
100	16	149
101	16	148
102	17	148
103	17	148
104	17	147
105	17	148
106	17	148
107	18	148
108	18	149
109	18	149
110	18	149
111	18	148
112	18	148
113	19	148
114	19	147
115	19	147
116	19	147
117	19	147
118	19	146
119	19	146
120	20	146
121	20	145
122	20	145
123	20	145
124	20	145
125	21	145
126	21	146
127	21	145
128	21	145
129	21	145
130	21	145
131	22	144
132	22	144
133	22	144
134	22	143
135	22	143
136	22	143
137	22	142
138	23	142
139	23	142
140	23	141
141	23	141
142	23	141
143	23	141
144	23	141
145	24	140
146	24	140
147	24	140
148	24	139
149	24	139
150	24	139
151	24	139
152	25	138
153	25	138
154	25	138
155	25	137
156	25	137
157	25	137
158	25	137
159	26	136
160	26	136
161	26	136
162	26	135
163	26	135
164	26	135
165	26	135
166	27	134
